City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,82.27,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
2,Saint George,US,84.63,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
6,Nanchong,CN,75.34,clear sky,30.8,106.08,Marine Una Century Hotel
8,Butaritari,KI,82.35,broken clouds,3.07,172.79,Isles Sunset Lodge
12,Rikitea,PF,76.01,scattered clouds,-23.12,-134.97,People ThankYou
13,Cabo San Lucas,MX,77.31,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
16,Wewak,PG,83.93,overcast clouds,-3.55,143.63,In Wewak Boutique Hotel
19,Atuona,PF,78.78,light rain,-9.8,-139.03,Villa Enata
21,Japura,ID,82.38,broken clouds,-0.32,102.35,Rumah mbah Jamah
24,Victoria,HK,80.19,overcast clouds,22.29,114.16,Mini Central
31,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
33,Sao Jose Da Coroa Grande,BR,76.44,scattered clouds,-8.9,-35.15,Crôa Mares Hotel
35,Seoul,KR,78.37,mist,37.57,126.98,롯데호텔 서울
36,Samana,DO,76.44,scattered clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
47,Tautira,PF,78.94,scattered clouds,-17.73,-149.15,Pension Oaoa
50,Hithadhoo,MV,83.39,overcast clouds,-0.6,73.08,Scoop Guest House
52,Meulaboh,ID,80.24,overcast clouds,4.14,96.13,Kost Pria
57,Isangel,VU,84.31,scattered clouds,-19.55,169.27,Tanna Lodge
58,Tual,ID,83.39,scattered clouds,-5.67,132.75,Grand Vilia Hotel
60,Zhangjiakou,CN,77.76,few clouds,40.81,114.88,Shell Zhangjiakou City Qiaodong District Ginza Hotel
61,Daru,PG,84.79,scattered clouds,-9.08,143.21,Daru Lodge
65,Atar,MR,86.43,clear sky,20.52,-13.05,Oumou Elghoura
66,Itoman,JP,75.22,light rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
69,Mitsamiouli,KM,77.85,overcast clouds,-11.38,43.28,Foyer ADM
71,Abu Dhabi,AE,80.96,clear sky,24.47,54.37,Beach Rotana
76,Arlit,NE,83.48,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
87,Kulhudhuffushi,MV,83.68,broken clouds,6.62,73.07,Haajy Guest House 1
94,Avarua,CK,84.25,scattered clouds,-21.21,-159.78,Paradise Inn
96,Tezu,IN,81.81,overcast clouds,27.92,96.17,Circuit House
100,Champerico,GT,81.97,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
103,Rayagada,IN,89.69,clear sky,19.17,83.42,"Hotel Swagath, Rayagada"
108,Aksu,CN,79.83,overcast clouds,41.12,80.26,Pudong Holiday Hotel
110,Udayagiri,IN,83.37,few clouds,20.13,84.38,Hotel Disha
121,Kapaa,US,82.38,overcast clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
122,Mahajanga,MG,75.22,scattered clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
126,Pontianak,ID,87.78,scattered clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
127,Mount Isa,AU,78.57,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
133,Hobyo,SO,80.31,overcast clouds,5.35,48.53,Iftin hotel hobyo
135,Lorengau,PG,85.96,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
136,Waingapu,ID,85.3,few clouds,-9.66,120.26,Pondok Wisata Elim
145,Jieshi,CN,78.94,overcast clouds,22.81,115.83,Yuehai Hotel
149,Wencheng,CN,81.32,clear sky,33.06,113.8,Ruyi Hostel
152,Xiongyue,CN,78.55,few clouds,40.18,122.12,Samsung Business Hotel
153,Sola,VU,81.7,scattered clouds,-13.88,167.55,Ulkel Guest House
154,Bambanglipuro,ID,83.7,broken clouds,-7.95,110.28,Puri Brata
155,Kihei,US,86.02,clear sky,20.79,-156.47,Maui Sunset
161,Teahupoo,PF,78.76,few clouds,-17.83,-149.27,Vanira Lodge
166,Moerai,PF,79.12,scattered clouds,-22.43,-151.33,Le Manotel
167,Pochutla,MX,80.82,clear sky,15.74,-96.47,Hotel Posada San Jose
170,Georgetown,MY,87.73,few clouds,5.41,100.34,Cititel Penang
174,Dingle,PH,86.83,overcast clouds,11.0,122.67,SEGAYA PROPERTY
175,Cockburn Town,TC,79.61,clear sky,21.46,-71.14,Osprey Beach Hotel
184,Myitkyina,MM,81.59,broken clouds,25.38,97.4,Shwe Phyu Hotel
187,Kavieng,PG,85.71,broken clouds,-2.57,150.8,Nusa Island Retreat
190,Matara,LK,80.64,overcast clouds,5.95,80.54,Amaloh Boutique Resort
195,Tabou,CI,75.45,light rain,4.42,-7.35,hotêl doufoulougou
206,Kahului,US,86.02,clear sky,20.89,-156.47,Maui Seaside Hotel
212,Dangriga,BZ,83.64,scattered clouds,16.97,-88.23,Chaleanor Hotel
213,Puerto Escondido,MX,81.36,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
222,Male,MV,83.1,overcast clouds,4.17,73.51,Hotel Octave Maldives
229,Kalmunai,LK,82.6,scattered clouds,7.42,81.82,VS Villa
234,Port Moresby,PG,89.02,haze,-9.44,147.18,Lamana Hotel (Port Moresby)
238,Malakwal,PK,85.82,clear sky,32.55,73.21,Green Town
241,Bathsheba,BB,81.21,scattered clouds,13.22,-59.52,Atlantis Hotel
251,Faanui,PF,81.12,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
254,Asbury Park,US,77.47,clear sky,40.22,-74.01,Berkeley Oceanfront Hotel
258,Umm Lajj,SA,75.96,clear sky,25.02,37.27,Moon light Furnished Units
262,Cayenne,GF,82.09,broken clouds,4.93,-52.33,Hôtel Le Dronmi
263,Selma,US,88.09,clear sky,36.57,-119.61,"Holiday Inn Selma-Swancourt, an IHG Hotel"
264,Makakilo City,US,80.92,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
265,Axim,GH,75.52,overcast clouds,4.87,-2.24,Axim Beach Resort And Spa
274,The Valley,AI,80.82,overcast clouds,18.22,-63.06,CeBlue Villas & Beach Resort
284,Buala,SB,85.42,light rain,-8.14,159.59,Maringe Lagoon Lodge
286,San Patricio,US,79.84,scattered clouds,28.02,-97.52,"Motel 6 Sinton, TX"
296,Mareeba,AU,79.66,scattered clouds,-17.0,145.43,Mareeba Motor Inn
300,Majene,ID,83.82,scattered clouds,-3.54,118.97,Kost Putri RABBANI
301,Ranong,TH,84.13,overcast clouds,9.97,98.63,Tinidee Hotel@Ranong
302,Palu,ID,80.55,overcast clouds,-0.89,119.87,Hotel Santika Palu
303,Kununurra,AU,85.98,overcast clouds,-15.77,128.73,Hotel Kununurra
305,Balsas,BR,79.36,overcast clouds,-7.53,-46.04,Novo Hotel
307,Lingao,CN,83.97,overcast clouds,19.91,109.69,Lingao Ditai Inn
