City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.73,-155.09,82.27,79,100,11.5,overcast clouds
1,Ushuaia,AR,-54.80,-68.30,33.46,80,0,4.61,clear sky
2,Saint George,US,37.10,-113.58,84.63,10,0,9.22,clear sky
3,Chuy,UY,-33.70,-53.46,51.66,82,18,5.39,few clouds
4,Quatre Cocos,MU,-20.21,57.76,73.51,77,16,11.45,few clouds
5,Tuktoyaktuk,CA,69.45,-133.04,19.4,86,100,14.97,overcast clouds
6,Nanchong,CN,30.80,106.08,75.34,67,0,1.81,clear sky
7,Punta Arenas,CL,-53.15,-70.92,30.31,93,40,5.75,scattered clouds
8,Butaritari,KI,3.07,172.79,82.35,78,67,13.73,broken clouds
9,Gejiu,CN,23.31,103.16,54.43,97,100,2.91,overcast clouds
10,Oxford,GB,51.75,-1.26,57.36,84,20,4.61,few clouds
11,Yerbogachen,RU,61.28,108.01,59.85,62,63,4.32,broken clouds
12,Rikitea,PF,-23.12,-134.97,76.01,76,49,17.27,scattered clouds
13,Cabo San Lucas,MX,22.89,-109.91,77.31,58,0,4.61,clear sky
14,Katsuura,JP,35.13,140.30,66.25,81,49,18.7,scattered clouds
15,Lasa,IT,46.62,10.70,59.88,75,92,2.68,overcast clouds
16,Wewak,PG,-3.55,143.63,83.93,74,100,7.02,overcast clouds
17,Yellowknife,CA,62.46,-114.35,36.12,64,100,8.05,light snow
18,Kaitangata,NZ,-46.28,169.85,50.97,70,99,17.27,overcast clouds
19,Atuona,PF,-9.80,-139.03,78.78,75,32,18.81,light rain
20,Edd,ER,13.93,41.69,86.63,43,30,7.14,scattered clouds
21,Japura,ID,-0.32,102.35,82.38,79,77,3.31,broken clouds
22,Hermanus,ZA,-34.42,19.23,58.6,82,52,7.38,broken clouds
23,Avera,US,33.19,-82.53,73.54,68,100,7.49,overcast clouds
24,Victoria,HK,22.29,114.16,80.19,91,99,17.0,overcast clouds
25,Anadyr,RU,64.75,177.48,54.1,58,0,15.66,clear sky
26,Mwinilunga,ZM,-11.74,24.43,53.24,69,97,4.25,overcast clouds
27,Ponta Delgada,PT,37.73,-25.67,67.5,94,75,4.61,broken clouds
28,Turtas,RU,58.94,69.13,45.39,80,38,9.33,scattered clouds
29,Kijang,KR,35.24,129.21,70.7,63,17,5.48,few clouds
30,Njeru,UG,0.42,33.17,64.24,90,100,0.38,light rain
31,Vaini,TO,-21.20,-175.20,82.56,83,40,8.05,scattered clouds
32,Busselton,AU,-33.65,115.33,63.57,70,89,18.25,overcast clouds
33,Sao Jose Da Coroa Grande,BR,-8.90,-35.15,76.44,83,43,12.39,scattered clouds
34,Linkoping,SE,58.41,15.62,44.98,77,100,5.75,overcast clouds
35,Seoul,KR,37.57,126.98,78.37,50,40,3.44,mist
36,Samana,DO,19.21,-69.34,76.44,86,29,7.31,scattered clouds
37,Qaqortoq,GL,60.72,-46.03,34.29,89,99,9.1,overcast clouds
38,Chokurdakh,RU,70.63,147.92,33.31,100,100,6.76,overcast clouds
39,Mar Del Plata,AR,-38.00,-57.56,54.95,77,0,4.61,clear sky
40,Asau,RO,46.43,26.40,51.28,91,100,2.3,overcast clouds
41,Mataura,NZ,-46.19,168.86,50.49,75,79,9.6,broken clouds
42,Kamaishi,JP,39.27,141.88,55.87,91,100,1.63,moderate rain
43,Bondo,CD,3.81,23.69,69.46,98,100,1.32,overcast clouds
44,Bredasdorp,ZA,-34.53,20.04,54.14,90,21,4.47,few clouds
45,Albany,US,42.60,-73.97,64.22,85,98,1.01,overcast clouds
46,Qaanaaq,GL,77.48,-69.36,25.88,78,100,8.59,overcast clouds
47,Tautira,PF,-17.73,-149.15,78.94,76,25,12.88,scattered clouds
48,Shimoda,JP,34.67,138.95,68.36,75,33,11.86,scattered clouds
49,Bluff,NZ,-46.60,168.33,50.81,77,99,29.53,overcast clouds
50,Hithadhoo,MV,-0.60,73.08,83.39,73,100,13.31,overcast clouds
51,Bukama,CD,-9.20,25.85,67.48,82,90,4.16,overcast clouds
52,Meulaboh,ID,4.14,96.13,80.24,81,100,2.33,overcast clouds
53,Khash,IR,28.22,61.22,65.59,22,0,4.68,clear sky
54,Barrow,US,71.29,-156.79,24.82,86,100,11.5,overcast clouds
55,Kodiak,US,57.79,-152.41,47.71,81,100,16.11,light rain
56,Hobart,AU,-42.88,147.33,58.26,76,20,10.36,few clouds
57,Isangel,VU,-19.55,169.27,84.31,79,40,6.91,scattered clouds
58,Tual,ID,-5.67,132.75,83.39,76,25,16.53,scattered clouds
59,East London,ZA,-33.02,27.91,59.34,80,60,3.94,broken clouds
60,Zhangjiakou,CN,40.81,114.88,77.76,28,21,5.64,few clouds
