City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-05-21 21:29:01,-46.6,168.3333,51.26,77,100,26.37
1,Severo-Kurilsk,RU,2022-05-21 21:29:01,50.6789,156.125,42.8,94,97,3.56
2,Vestmanna,FO,2022-05-21 21:29:02,62.1564,-7.1664,47.32,93,100,8.05
3,Iqaluit,CA,2022-05-21 21:25:49,63.7506,-68.5145,31.73,80,100,29.93
4,Korla,CN,2022-05-21 21:29:02,41.7597,86.1469,77.86,12,100,17.49
5,Thompson,CA,2022-05-21 21:29:03,55.7435,-97.8558,51.96,24,20,13.8
6,San Quintin,MX,2022-05-21 21:29:03,30.4833,-115.95,65.05,58,0,11.1
7,Mataura,NZ,2022-05-21 21:29:04,-46.1927,168.8643,45.79,96,100,9.53
8,Diego De Almagro,CL,2022-05-21 21:29:04,-26.3667,-70.05,71.8,23,0,7.65
9,Dikson,RU,2022-05-21 21:29:04,73.5069,80.5464,25.11,96,94,7.36
10,Kieta,PG,2022-05-21 21:29:05,-6.2167,155.6333,80.01,82,18,0.81
11,Puerto Ayora,EC,2022-05-21 21:29:05,-0.7393,-90.3518,78.76,90,86,8.01
12,Superior,US,2022-05-21 21:26:00,46.7208,-92.1041,53.96,56,100,16.11
13,Hilo,US,2022-05-21 21:26:41,19.7297,-155.09,93.27,72,100,9.22
14,Clyde River,CA,2022-05-21 21:27:12,70.4692,-68.5914,23.23,86,100,8.05
15,Ushuaia,AR,2022-05-21 21:28:03,-54.8,-68.3,40.66,70,0,5.75
16,Albany,US,2022-05-21 21:28:30,42.6001,-73.9662,92.17,56,4,9.31
17,New Norfolk,AU,2022-05-21 21:29:07,-42.7826,147.0587,45.91,88,44,2.86
18,Nara,JP,2022-05-21 21:29:07,34.6851,135.8049,63.97,73,87,0.38
19,Emerald,AU,2022-05-21 21:29:07,-23.5333,148.1667,59.34,92,85,15.48
20,Farah,AF,2022-05-21 21:29:08,32.5,62.5,72.09,33,0,8.75
21,Kismayo,SO,2022-05-21 21:29:08,-0.3582,42.5454,79.56,82,100,14.09
22,Kodiak,US,2022-05-21 21:24:17,57.79,-152.4072,45.91,81,100,25.32
23,Rikitea,PF,2022-05-21 21:29:09,-23.1203,-134.9692,75.38,74,9,7.94
24,Avarua,CK,2022-05-21 21:29:09,-21.2078,-159.775,82.45,74,75,9.22
25,Grindavik,IS,2022-05-21 21:24:26,63.8424,-22.4338,49.95,76,0,20.71
26,Bengkulu,ID,2022-05-21 21:29:10,-3.8004,102.2655,75.56,91,86,4.54
27,Vaini,TO,2022-05-21 21:29:11,-21.2,-175.2,78.96,78,40,8.05
28,Hobart,AU,2022-05-21 21:28:44,-42.8794,147.3294,46.26,88,20,14.97
29,Puerto Narino,CO,2022-05-21 21:29:11,-3.7703,-70.3831,82.54,70,77,1.79
30,Ribeira Grande,PT,2022-05-21 21:29:12,38.5167,-28.7,64.98,95,75,3.27
31,Hamilton,US,2022-05-21 21:29:12,39.1834,-84.5333,77.72,94,40,8.05
32,Hambantota,LK,2022-05-21 21:29:13,6.1241,81.1185,79.14,100,20,6.91
33,Salalah,OM,2022-05-21 21:29:13,17.0151,54.0924,84.29,79,75,4.61
34,Atyrau,KZ,2022-05-21 21:29:14,47.1167,51.8833,42.82,70,40,4.47
35,Ouallam,NE,2022-05-21 21:29:14,14.3188,2.0866,89.71,33,34,8.86
36,Port Alfred,ZA,2022-05-21 21:29:15,-33.5906,26.891,58.87,76,54,5.12
37,Pangnirtung,CA,2022-05-21 21:29:15,66.1451,-65.7125,35.78,83,100,12.91
38,Tiznit,MA,2022-05-21 21:29:15,29.5833,-9.5,66.54,73,3,3.04
39,Tasiilaq,GL,2022-05-21 21:29:16,65.6145,-37.6368,32.16,72,100,5.03
40,Atuona,PF,2022-05-21 21:29:16,-9.8,-139.0333,77.79,77,17,11.86
41,Mar Del Plata,AR,2022-05-21 21:25:05,-38.0023,-57.5575,59.02,82,0,6.91
42,Vestmannaeyjar,IS,2022-05-21 21:29:17,63.4427,-20.2734,49.78,86,98,8.12
43,Punta Arenas,CL,2022-05-21 21:25:03,-53.15,-70.9167,39.31,81,0,8.05
44,Tezu,IN,2022-05-21 21:29:18,27.9167,96.1667,72.43,83,93,2.51
45,Burns Lake,CA,2022-05-21 21:28:18,54.2331,-125.7533,62.02,27,13,4.0
46,Rundu,NA,2022-05-21 21:30:18,-17.9333,19.7667,46.2,24,0,5.44
47,Kysyl-Syr,RU,2022-05-21 21:30:19,63.8986,122.7617,49.03,65,76,5.41
48,Saskylakh,RU,2022-05-21 21:30:19,71.9167,114.0833,30.06,95,83,5.91
49,Faanui,PF,2022-05-21 21:30:20,-16.4833,-151.75,80.44,72,15,9.89
50,Hithadhoo,MV,2022-05-21 21:30:20,-0.6,73.0833,82.62,72,54,8.52
51,Kaitangata,NZ,2022-05-21 21:30:21,-46.2817,169.8464,47.66,91,100,13.73
52,Port Blair,IN,2022-05-21 21:30:21,11.6667,92.75,83.41,81,100,20.2
53,Kerchevskiy,RU,2022-05-21 21:30:21,59.946,56.2884,35.98,97,100,5.5
54,Esperance,AU,2022-05-21 21:30:22,-33.8667,121.9,58.84,78,45,14.41
55,Ambatondrazaka,MG,2022-05-21 21:30:22,-17.8333,48.4167,56.8,96,43,3.87
56,Darnah,LY,2022-05-21 21:30:23,32.767,22.6367,65.35,68,0,22.28
57,Katsuura,JP,2022-05-21 21:30:23,35.1333,140.3,61.75,93,100,17.49
58,Cidreira,BR,2022-05-21 21:30:24,-30.1811,-50.2056,58.39,74,46,3.13
59,Ayorou,NE,2022-05-21 21:30:24,14.7308,0.9174,87.6,39,63,9.19
60,Zarand,IR,2022-05-21 21:30:24,30.8127,56.564,67.78,30,0,8.77
61,Kauhajoki,FI,2022-05-21 21:30:25,62.4333,22.1833,44.58,57,43,4.68
62,Coahuayana,MX,2022-05-21 21:30:25,18.7333,-103.6833,86.14,56,1,8.1
63,Kavaratti,IN,2022-05-21 21:30:26,10.5669,72.642,83.28,78,97,17.96
64,Chapais,CA,2022-05-21 21:30:26,49.7834,-74.8492,60.58,62,56,10.69
65,Altagracia De Orituco,VE,2022-05-21 21:30:26,9.8601,-66.3814,83.59,53,59,7.23
66,Plettenberg Bay,ZA,2022-05-21 21:30:27,-34.0527,23.3716,55.36,77,2,4.5
67,Bizhbulyak,RU,2022-05-21 21:30:27,53.6967,54.2642,34.84,95,94,8.95
68,Vila Do Maio,CV,2022-05-21 21:30:28,15.1333,-23.2167,72.39,81,26,14.83
69,Vila Velha,BR,2022-05-21 21:30:28,-20.3297,-40.2925,71.55,73,20,9.22
70,Semporna,MY,2022-05-21 21:30:29,4.4818,118.6112,79.18,85,93,5.5
71,Anadyr,RU,2022-05-21 21:30:29,64.75,177.4833,43.3,70,0,4.47
72,Hemnesberget,NO,2022-05-21 21:30:29,66.2333,13.6333,49.57,71,100,4.88
73,Labuhan,ID,2022-05-21 21:30:30,-6.8844,112.2051,76.6,90,97,8.12
74,Bredasdorp,ZA,2022-05-21 21:30:30,-34.5322,20.0403,52.12,86,16,5.41
75,Tuktoyaktuk,CA,2022-05-21 21:30:31,69.4541,-133.0374,30.2,69,75,9.22
76,Geraldton,AU,2022-05-21 21:30:31,-28.7667,114.6,55.81,94,75,13.8
77,Bara,NG,2022-05-21 21:30:31,10.3744,10.7288,88.18,46,32,13.98
78,Kavieng,PG,2022-05-21 21:30:32,-2.5744,150.7967,83.71,68,90,11.65
79,Medina,SA,2022-05-21 21:30:32,24.4686,39.6142,99.03,7,0,4.61
80,Urcos,PE,2022-05-21 21:30:33,-13.6861,-71.6228,66.09,63,83,8.52
81,Natal,BR,2022-05-21 21:27:41,-5.795,-35.2094,82.62,83,20,9.22
82,Castro,BR,2022-05-21 21:30:33,-24.7911,-50.0119,48.65,73,7,1.12
83,Cape Town,ZA,2022-05-21 21:30:34,-33.9258,18.4232,58.12,83,0,2.3
84,Yaan,NG,2022-05-21 21:30:34,7.3833,8.5667,78.21,76,90,7.58
85,Busselton,AU,2022-05-21 21:30:35,-33.65,115.3333,58.32,82,0,10.27
86,Soyo,AO,2022-05-21 21:30:35,-6.1349,12.3689,75.22,80,47,6.08
87,Pozo Colorado,PY,2022-05-21 21:30:36,-23.4923,-58.7972,63.81,53,72,5.82
88,Victoria,HK,2022-05-21 21:30:36,22.2855,114.1577,77.38,89,99,17.0
89,Davila,PH,2022-05-21 21:30:37,18.4726,120.5763,76.98,79,86,4.29
90,Portland,US,2022-05-21 21:29:46,45.5234,-122.6762,73.15,41,20,10.36
91,Prado,BR,2022-05-21 21:30:37,-17.3411,-39.2208,70.68,75,37,8.88
92,Jamestown,US,2022-05-21 21:30:38,42.097,-79.2353,82.04,64,75,10.36
93,Kahului,US,2022-05-21 21:30:38,20.8947,-156.47,86.02,51,20,21.85
94,Saint-Philippe,RE,2022-05-21 21:31:39,-21.3585,55.7679,71.19,80,99,11.41
95,Zgierz,PL,2022-05-21 21:31:39,51.8556,19.4062,52.84,89,75,15.01
96,Arman,RU,2022-05-21 21:31:40,59.7,150.1667,41.02,90,99,4.09
97,Warrnambool,AU,2022-05-21 21:31:40,-38.3833,142.4833,46.44,87,4,6.29
98,Carnarvon,AU,2022-05-21 21:31:40,-24.8667,113.6333,70.7,67,98,10.36
99,Berezovyy,RU,2022-05-21 21:31:41,51.6667,135.7,39.97,97,100,4.76
100,Khatanga,RU,2022-05-21 21:31:41,71.9667,102.5,35.47,94,99,5.5
101,Poum,NC,2022-05-21 21:31:42,-20.2333,164.0167,77.56,81,29,2.77
102,Provideniya,RU,2022-05-21 21:31:42,64.3833,-173.3,52.43,47,99,9.44
103,Barrow,US,2022-05-21 21:28:28,71.2906,-156.7887,23.02,86,100,11.5
104,Salinopolis,BR,2022-05-21 21:31:02,-0.6136,-47.3561,77.49,85,89,3.89
105,Butaritari,KI,2022-05-21 21:30:09,3.0707,172.7902,81.1,79,98,10.78
106,San Cristobal,VE,2022-05-21 21:31:43,7.7669,-72.225,78.98,53,53,5.82
107,Sven,RU,2022-05-21 21:31:44,53.1822,34.5511,48.31,99,100,6.4
108,Viedma,AR,2022-05-21 21:27:02,-40.8135,-62.9967,58.33,40,2,8.93
109,Sao Bento Do Sul,BR,2022-05-21 21:31:44,-26.2503,-49.3786,52.23,93,4,0.92
110,Chornukhy,UA,2022-05-21 21:31:45,50.2673,32.942,55.22,94,63,17.27
